City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
241,Georgetown,MY,5.4112,100.3354,84.13,77,40,3.44,scattered clouds,0.0,0.0
242,San Luis,AR,-33.295,-66.3356,59.95,54,0,10.09,clear sky,0.0,0.0
243,Balakhta,RU,55.38,91.6,34.88,100,100,2.95,overcast clouds,0.0,0.0
244,Baherden,TM,38.4362,57.4316,65.95,49,71,10.51,broken clouds,0.0,0.0
245,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,75,5.75,broken clouds,0.0,0.0
246,Ukiah,US,39.1502,-123.2078,57.43,80,40,10.36,scattered clouds,0.0,0.0
247,Geilo,NO,60.5333,8.2076,12.47,88,10,10.22,clear sky,0.0,0.0
248,Olinda,BR,-8.0089,-34.8553,80.33,74,40,4.61,scattered clouds,0.0,0.0
249,Saldanha,ZA,-33.0117,17.9442,59.05,88,16,10.22,few clouds,0.0,0.0
250,Kashi,CN,39.4547,75.9797,65.41,20,0,8.95,clear sky,0.0,0.0
251,Padang,ID,-0.9492,100.3543,86.05,61,32,4.23,scattered clouds,0.0,0.0
252,Juneau,US,58.3019,-134.4197,44.6,95,75,6.91,shower rain,0.0,0.0
253,Soe,ID,-9.8607,124.284,80.44,43,70,2.24,broken clouds,0.0,0.0
254,Bandarbeyla,SO,9.4942,50.8122,76.33,77,60,3.96,broken clouds,0.0,0.0
255,Kisangani,CD,0.5167,25.2,69.8,95,84,1.54,broken clouds,0.0,0.0
256,Yuksekova,TR,37.5736,44.2872,37.04,84,86,1.7,overcast clouds,0.0,0.0
257,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.23,78,9,3.89,clear sky,0.0,0.0
258,Karlskrona,SE,56.1616,15.5866,34.25,81,100,16.02,overcast clouds,0.0,0.0
259,Mount Gambier,AU,-37.8333,140.7667,62.73,56,100,4.43,light rain,0.0,0.0
260,Kawerau,NZ,-38.1,176.7,74.1,68,86,1.99,overcast clouds,0.0,0.0
261,Avera,US,33.194,-82.5271,62.11,57,53,3.69,broken clouds,0.0,0.0
262,Mago,RU,53.2514,140.1822,35.28,50,100,7.67,snow,0.0,0.0
263,Shiyan,CN,32.6475,110.7781,72.41,42,1,8.01,clear sky,0.0,0.0
264,Moree,AU,-29.4667,149.85,86.02,45,75,6.91,broken clouds,0.0,0.0
