City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
85,Ostersund,SE,2022-04-04 20:45:46,63.1792,14.6357,24.62,80,40,8.05
86,Yulara,AU,2022-04-04 20:41:26,-25.2406,130.9889,60.64,31,2,4.61
87,Fairbanks,US,2022-04-04 20:45:46,64.8378,-147.7164,18.48,66,100,1.01
88,Necochea,AR,2022-04-04 20:44:02,-38.5473,-58.7368,59.94,58,0,7.34
89,Kitimat,CA,2022-04-04 20:45:47,54.0524,-128.6534,40.91,53,100,1.01
90,Tuatapere,NZ,2022-04-04 20:45:47,-46.1333,167.6833,59.2,83,100,5.08
91,Nha Trang,VN,2022-04-04 20:45:47,12.25,109.1833,73.4,90,86,8.12
92,Saldanha,ZA,2022-04-04 20:45:47,-33.0117,17.9442,60.85,83,16,6.42
93,Coahuayana,MX,2022-04-04 20:45:48,18.7333,-103.6833,85.23,44,72,8.61
94,Kruisfontein,ZA,2022-04-04 20:45:48,-34.0033,24.7314,60.89,74,0,13.94
95,Valleyview,CA,2022-04-04 20:45:48,55.0667,-117.2859,41.04,52,100,6.91
96,San Cristobal,VE,2022-04-04 20:45:49,7.7669,-72.225,80.78,53,100,5.53
97,Ponta Delgada,PT,2022-04-04 20:45:49,37.7333,-25.6667,57.92,62,20,3.44
98,Vila Franca Do Campo,PT,2022-04-04 20:45:49,37.7167,-25.4333,57.61,67,92,4.56
99,Mahon,ES,2022-04-04 20:45:49,39.8885,4.2658,50.56,66,20,10.36
100,Ilhabela,BR,2022-04-04 20:45:50,-23.7781,-45.3581,75.87,90,4,3.04
101,Hithadhoo,MV,2022-04-04 20:45:50,-0.6,73.0833,82.74,68,38,3.09
102,Talnakh,RU,2022-04-04 20:45:50,69.4865,88.3972,-3.28,90,70,8.57
103,Luba,GQ,2022-04-04 20:45:50,3.4568,8.5547,76.89,81,88,5.97
